record_id,timestamp,seller_id,buyer_id,property_type,neighborhood,city,state,latitude,longitude,area_m2,bedrooms,bathrooms,parking_spots,year_built,furnished,condo_fee_brl,price_brl,buyer_notes
6888736c-17b5-45e8-a175-915c2603838f,2026-09-20T14:08:08.654227,S-9CA56934,B-5AA55361,commercial,Pirituba,São Paulo,SP,-23.480676,-46.726073,39.0,0,1,0,1989,True,808.65,647724.74,Requested details on condo fees.
b82cc814-6ef0-4d68-a5b5-f7df452c7fb8,2026-09-20T14:08:08.654260,S-6F057D92,B-972FEA23,commercial,Cambuci,São Paulo,SP,-23.56426,-46.619938,233.6,0,1,3,1993,False,598.83,2016122.06,Prefers ground floor due to mobility issues.
017fe5c4-a6f1-47f2-ad47-e3bcc2336a87,2026-09-20T14:08:08.654283,S-4EF8EB52,B-6873CB6F,house,Liberdade,São Paulo,SP,-23.557716,-46.628652,77.6,4,4,2,2006,True,0.0,4065511.19,Concerned about noise from nearby avenue.
e27249d3-5c0f-4f53-8d81-a551b1748549,2026-09-20T14:08:08.654302,S-4A3E4CF0,B-A7E5EA86,penthouse,Penha,São Paulo,SP,-23.532897,-46.549078,159.4,4,2,1,2019,False,2069.23,7980119.03,Wants to schedule a second visit with spouse.
51a54e37-7e73-4684-86de-c6b56b88092e,2026-09-20T14:08:08.654320,S-3E9E4030,B-27205727,studio,Jardins,São Paulo,SP,-23.57145,-46.651401,151.9,0,1,0,2001,True,2320.91,456401.24,"Interested in the view, wants to negotiate price."
ae2d392e-6b49-43df-a266-3d68723bbe00,2026-09-20T14:08:08.654337,S-4F889C16,,studio,Sacomã,São Paulo,SP,-23.616697,-46.586867,267.7,0,1,3,1975,True,1999.56,407782.95,
6cd03119-763e-482d-b27e-7ae56e4a3551,2026-09-20T14:08:08.654354,S-EC22A5C9,B-D2AF8A3B,commercial,Aclimação,São Paulo,SP,-23.560206,-46.634108,39.3,0,1,1,1986,True,1348.69,967909.68,Looking for a property near public transport.
6419a731-a679-45be-a49d-ebf06e45ae29,2026-09-20T14:08:08.654371,S-59A5180F,B-F5B5FB1C,house,Itaim Bibi,São Paulo,SP,-23.591083,-46.676666,113.8,4,2,1,1996,False,0.0,3589228.5,Wants to schedule a second visit with spouse.
2e47dde0-e1bd-400b-a3cd-bed56cc59a97,2026-09-20T14:08:08.654389,S-19C8BD8D,B-FAE785CB,apartment,Campo Belo,São Paulo,SP,-23.619948,-46.667209,95.2,1,1,1,2017,False,949.9,2402923.3,
bad5b2b0-435f-43d8-be5a-106003697cda,2026-09-20T14:08:08.654405,S-A3C7879E,B-B0F89A75,commercial,Vila Guilherme,São Paulo,SP,-23.50878,-46.596303,209.7,0,1,3,2015,False,1022.81,1671500.2,Requested details on condo fees.
09187d40-7d5e-4533-81a6-5919f999a07f,2026-09-20T14:08:08.654424,S-06E8273E,B-987715D9,house,Cidade Dutra,São Paulo,SP,-23.70417,-46.663004,173.2,5,2,2,1980,True,0.0,2326374.29,"Very interested, likely to make an offer."
e2fa3006-89c1-4815-b911-6fde32e90614,2026-09-20T14:08:08.654440,S-747E3B10,B-F34D6B8C,penthouse,Ipiranga,São Paulo,SP,-23.593511,-46.612082,190.6,5,4,3,2015,True,650.75,7154249.03,
fed2571e-c468-4b4d-83bf-16d4cdd33558,2026-09-20T14:08:08.654467,S-0259F207,B-433F3376,house,Moema,São Paulo,SP,-23.598034,-46.673752,211.7,3,2,1,1999,False,0.0,3220524.8,"Very interested, likely to make an offer."
7330f034-b5e1-484c-b052-922b40252fcc,2026-09-20T14:08:08.654483,S-006FF79A,B-B85EEB9F,studio,Santo André,São Paulo,SP,-23.657014,-46.531911,225.7,0,1,3,1981,False,826.57,462135.58,Looking for a property near public transport.
d947b8cf-bf5b-4733-9e63-364efa3f79d4,2026-09-20T14:08:08.654499,S-D7E6D68F,B-C2A35630,house,Bom Retiro,São Paulo,SP,-23.526981,-46.637248,187.1,5,4,1,1998,False,0.0,4498184.88,Looking for a property near public transport.
5df2ce3a-e20f-463d-9bf7-51eb0fea6f13,2026-09-20T14:08:08.654515,S-7810F273,B-6FA1F2EC,penthouse,Vila Prudente,São Paulo,SP,-23.580332,-46.577561,213.8,5,4,3,1989,False,2414.24,3122189.49,Needs parking for two cars.
12f0ddd1-be05-414a-a3a6-95d2483e1f65,2026-09-20T14:08:08.654533,S-20E3B5F1,B-A7EC8FBA,penthouse,Aclimação,São Paulo,SP,-23.562849,-46.630757,152.5,3,4,0,2009,False,2114.4,4113840.35,
1e8df950-675c-48a2-83c6-70ec87190a37,2026-09-20T14:08:08.654551,S-AFA045BA,B-FC92A6F3,house,Campo Belo,São Paulo,SP,-23.621731,-46.669859,259.6,5,3,0,2003,False,0.0,4887189.68,Needs parking for two cars.
45c25623-3c73-4adc-ba99-8c74bc96c80e,2026-09-20T14:08:08.654567,S-7826B8D3,B-37E51B38,commercial,Consolação,São Paulo,SP,-23.55574,-46.663117,155.8,0,1,2,2005,True,1879.93,1621788.03,Asked about pet policy in the building.
e0533645-5aa2-4212-9006-ccdc184fc0a8,2026-09-20T14:08:08.654584,S-F507CAF1,B-626D5A47,house,Jabaquara,São Paulo,SP,-23.651134,-46.641275,184.2,4,4,0,1986,False,0.0,2169555.72,Wants to schedule a second visit with spouse.
f53933d0-03a3-4f93-b844-1255caf05f11,2026-09-20T14:08:08.654607,S-889C9BC3,,commercial,Cidade Ademar,São Paulo,SP,-23.662966,-46.653713,121.1,0,1,3,1990,False,996.03,1022947.99,
57160796-a5f4-486b-a607-0cdbaf49ba7b,2026-09-20T14:08:08.654629,S-ED1B61B2,B-5B15A338,commercial,Ipiranga,São Paulo,SP,-23.597178,-46.602362,227.1,0,1,1,1998,False,1527.6,807187.79,"Very interested, likely to make an offer."
596104d6-c695-4a3e-935f-191a5a868a4b,2026-09-20T14:08:08.654647,S-BA8710F6,,commercial,Água Funda,São Paulo,SP,-23.613592,-46.604634,172.7,0,1,2,1975,True,1426.33,1261982.95,
9943200a-229f-4f3a-959b-00d1089641b7,2026-09-20T14:08:08.654669,S-CBB1CED2,B-EFC13CB8,studio,Itaim Bibi,São Paulo,SP,-23.583717,-46.667574,238.0,0,1,2,1997,False,866.01,393388.19,Asked about pet policy in the building.
2669d636-36be-4fc9-a58f-1f7a58fc81c2,2026-09-20T14:08:08.654691,S-461ED798,B-8ACF7D5B,house,Pinheiros,São Paulo,SP,-23.566233,-46.700977,257.3,5,2,2,2024,True,0.0,1316231.83,Asked about pet policy in the building.
9488c2c9-a10d-454d-9532-cd067a53cb75,2026-09-20T14:08:08.654714,S-19E2E573,B-7C768169,house,Vila Sônia,São Paulo,SP,-23.597756,-46.73845,174.3,3,3,2,1977,False,0.0,3623263.39,Requested details on condo fees.
fc2e8f3f-12f0-4ef0-96fb-4e361ed80f20,2026-09-20T14:08:08.654731,S-06AAFD8B,B-BA7F976F,apartment,Campo Belo,São Paulo,SP,-23.622838,-46.66445,76.3,4,5,3,1993,True,1699.5,660212.47,Needs parking for two cars.
4eca212b-db84-4b07-8d11-a0cd569dad29,2026-09-20T14:08:08.654750,S-B6467F5A,B-46FE48CB,house,Pinheiros,São Paulo,SP,-23.556629,-46.693082,276.7,5,4,0,1990,False,0.0,1408197.61,Wants to schedule a second visit with spouse.
5184013e-a41b-4e97-af07-d60b2a16bc35,2026-09-20T14:08:08.654766,S-6A7877F7,B-C0968D04,studio,Moema,São Paulo,SP,-23.596922,-46.673033,71.0,0,1,2,1986,True,1706.17,306662.92,"Very interested, likely to make an offer."
f1b1dd2c-9fc2-4f57-8746-19c63f24fa52,2026-09-20T14:08:08.654795,S-B966D639,B-94CD43F3,studio,Vila Leopoldina,São Paulo,SP,-23.523096,-46.73886,200.1,0,1,0,2012,False,1939.94,377215.16,Needs parking for two cars.
aae1d3fc-8024-472b-9fbb-611efb811af6,2026-09-20T14:08:08.654821,S-57AA238C,B-07B0F1F9,commercial,Campo Belo,São Paulo,SP,-23.6244,-46.67205,168.7,0,1,1,1992,False,1284.82,787494.2,
bd2490ec-26c5-40a2-b8f1-dc66855b8701,2026-09-20T14:08:08.654845,S-61D6AEC7,B-A79BB95B,house,Liberdade,São Paulo,SP,-23.559884,-46.641505,39.3,4,2,2,2012,False,0.0,3431257.69,Concerned about noise from nearby avenue.
74d2589b-3870-4bc5-815a-1266376063e8,2026-09-20T14:08:08.654866,S-B87DA570,B-3DE66341,penthouse,Cidade Dutra,São Paulo,SP,-23.703386,-46.658882,244.2,4,2,0,1979,True,726.57,2936828.64,
8361cf40-ea8b-4ec6-8227-fc1a58f63a09,2026-09-20T14:08:08.654890,S-7A58327F,B-64C4CCED,penthouse,Santo André,São Paulo,SP,-23.66096,-46.530577,41.8,4,3,1,1976,False,2498.66,3344165.42,
875071fc-63f7-4e39-9f33-d9459ba0cda5,2026-09-20T14:08:08.654915,S-D143EEC1,B-612AFF18,penthouse,Água Funda,São Paulo,SP,-23.62625,-46.60423,77.8,5,4,2,2019,True,423.93,1501227.09,Looking for a property near public transport.
c8ff8ac2-1706-4bfb-86d4-b16694d39f27,2026-09-20T14:08:08.654929,S-F2C36BA7,,penthouse,Vila Leopoldina,São Paulo,SP,-23.526012,-46.735996,140.8,5,3,0,2015,True,628.36,6865220.74,
ab86a719-3fad-48bd-a4b5-dc430cc4caa1,2026-09-20T14:08:08.654946,S-9E318D57,B-6E209DCB,penthouse,Consolação,São Paulo,SP,-23.5446,-46.662317,126.7,5,3,1,2005,True,2087.78,7560806.49,
174794b9-1c57-4488-8bc0-0552b2591de4,2026-09-20T14:08:08.654964,S-1F958D1A,,commercial,Barra Funda,São Paulo,SP,-23.524864,-46.669257,187.5,0,1,0,2004,True,2234.72,1306851.68,
d34ef4b4-6cf9-4a87-9a11-805cb2ee47fa,2026-09-20T14:08:08.662632,S-C125289F,B-E9D2CEBC,penthouse,Vila Leopoldina,São Paulo,SP,-23.524634,-46.740461,250.6,3,3,2,1976,True,853.45,6385581.06,Prefers ground floor due to mobility issues.
556c756f-284a-4e22-a2db-9d0e8e9b5356,2026-09-20T14:08:08.662679,S-F482879D,,apartment,Pirituba,São Paulo,SP,-23.479948,-46.721825,190.5,3,4,1,2007,False,1857.54,1968330.45,
cdd41670-8d04-4eb9-ad0b-9ff7c240ffe0,2026-09-20T14:08:08.662703,S-AA760E3B,B-BA882B4F,studio,Bom Retiro,São Paulo,SP,-23.523777,-46.644216,183.5,0,1,1,2004,False,460.3,497611.08,Asked about pet policy in the building.
